Scheme Name,AMC Name,Fund Type,Category,Sub Category,Risk Level,Fund Rating,Return 1Y (%),Return 3Y (%),Return 5Y (%),Expense Ratio (%),NAV (₹),AUM (Cr),Fund Age (Years),Min SIP (₹),Min Lumpsum (₹),Fund Manager,Investment Strategy,Norm_Return_1Y,Norm_Return_3Y,Norm_Return_5Y,Norm_Expense_Ratio,Norm_Fund_Age,Norm_AUM,Score,Rank
IDFC Discovery Small Cap Fund - Direct Plan - IDCW,IDFC Mutual Fund,Equity,Small Cap,Discovery,High,5,44.82,43.68,47.31,0.74,458.81,1557.4,21.7,2000,5000,Niket Shah,Active,0.8996383363471971,0.9800947867298578,0.980565017030655,0.26778242677824265,0.7186440677966102,0.006215806275391103,100.0,1
L&T Micro Cap Small Cap Fund - Direct Plan - IDCW,L&T Mutual Fund,Equity,Small Cap,Micro Cap,High,4,41.83,44.23,43.75,0.73,45.98,1920.42,22.9,1000,10000,Anish Tawakley,Active,0.8455696202531645,0.9931279620853078,0.9092366259266679,0.2635983263598326,0.7593220338983051,0.007667906430541257,97.56,2
Bank of India Emerging Small Cap Plan - Direct Plan - IDCW,Bank of India Mutual Fund,Equity,Small Cap,Emerging,Very High,5,47.1,42.86,45.17,0.79,486.21,260.25,16.1,100,5000,Kalpen Parekh,GARP,0.940867992766727,0.9606635071090047,0.9376878381085954,0.28870292887029286,0.528813559322034,0.001027134256623482,93.54,3
HSBC Emerging Small Cap Fund - Direct Plan - Growth,HSBC Mutual Fund,Equity,Small Cap,Emerging,High,4,45.74,43.11,47.53,0.84,40.23,843.0,14.9,1500,10000,Ankit Agarwal,GARP,0.9162748643761303,0.9665876777251184,0.9849729513123621,0.30962343096234307,0.488135593220339,0.0033581666113525655,93.33,4
Union Opportunities Mid Cap Fund - Regular Plan - Growth,Union Mutual Fund,Equity,Mid Cap,Opportunities,Moderately High,5,32.12,34.09,35.12,0.53,549.03,74755.77,28.0,100,500,Taher Badshah,Income,0.6699819168173597,0.7528436018957346,0.7363253856942494,0.1799163179916318,0.9322033898305085,0.29901335030530224,92.96,5
Bandhan Micro Cap Small Cap Scheme - Regular Plan - IDCW,Bandhan Mutual Fund,Equity,Small Cap,Micro Cap,High,4,47.62,42.75,39.56,1.19,289.65,82.96,23.8,500,25000,Vinay Sharma,Passive,0.9502712477396021,0.9580568720379147,0.825285513925065,0.45606694560669453,0.7898305084745764,0.00031796441334605726,92.95,6
Aditya Birla Sun Life Energy Sectoral Fund - Direct Plan - IDCW,Aditya Birla Sun Life Mutual Fund,Equity,Sectoral,Energy,High,5,45.57,38.31,36.83,0.59,149.84,74.47,12.1,500,5000,Divam Sharma,Active,0.9132007233273056,0.8528436018957346,0.7705870567020635,0.20502092050209203,0.3932203389830508,0.0002840039419747146,92.18,7
Invesco Discovery Mid Cap Plan - Direct Plan - Growth,Invesco Mutual Fund,Equity,Mid Cap,Discovery,High,5,39.03,34.67,31.66,0.41,653.85,5148.7,23.3,5000,10000,Rohit Singhania,Active,0.7949367088607595,0.7665876777251185,0.6670006010819474,0.12970711297071127,0.7728813559322034,0.02058120566713466,92.14,8
Baroda BNP Paribas Emerging Small Cap Scheme - Regular Plan - IDCW,Baroda BNP Paribas Mutual Fund,Equity,Small Cap,Emerging,High,4,45.8,39.25,38.75,0.98,119.54,29362.02,20.7,5000,1000,Kalpen Parekh,Growth,0.9173598553345388,0.8751184834123222,0.8090563013424162,0.36820083682008364,0.6847457627118644,0.11743583000932054,90.26,9
Mirae Asset Micro Cap Small Cap Scheme - Direct Plan - IDCW,Mirae Asset Mutual Fund,Equity,Small Cap,Micro Cap,High,4,47.28,42.02,38.11,0.68,346.87,60.46,3.4,500,1000,Rohit Singhania,Growth,0.944122965641953,0.9407582938388626,0.796233219795632,0.24267782426778245,0.09830508474576272,0.00022796316412871813,90.08,10
Aditya Birla Sun Life Discovery Small Cap Plan - Direct Plan - IDCW,Aditya Birla Sun Life Mutual Fund,Equity,Small Cap,Discovery,Very High,4,45.73,43.89,40.53,0.53,628.35,330.11,2.9,1000,10000,Prashant Jain,Value,0.9160940325497287,0.9850710900473932,0.8447204968944099,0.1799163179916318,0.08135593220338982,0.001306578135304518,89.62,11
IDFC Consumption Sectoral Scheme - Direct Plan - IDCW,IDFC Mutual Fund,Equity,Sectoral,Consumption,High,5,31.2,35.21,21.7,0.5,697.57,2446.04,22.6,500,25000,Manish Gunwani,Passive,0.6533453887884267,0.7793838862559241,0.4674413945101181,0.16736401673640167,0.7491525423728814,0.009770415613368715,87.89,12
JM Financial MNC Thematic Plan - Regular Plan - IDCW,JM Financial Mutual Fund,Equity,Thematic,MNC,High,5,39.5,31.9,33.4,0.76,546.74,745.41,26.1,500,1000,Chirag Setalvad,GARP,0.8034358047016275,0.700947867298578,0.701863354037267,0.27615062761506276,0.8677966101694916,0.0029678011930805597,85.85,13
SBI Discovery Mid Cap Scheme - Regular Plan - IDCW,SBI Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,5,31.59,34.65,30.95,0.72,473.46,604.45,19.4,2000,5000,Nimesh Chandan,Value,0.6603978300180832,0.7661137440758293,0.6527749949909837,0.25941422594142255,0.6406779661016949,0.002403953366872732,85.72,14
Kotak Mahindra IT Sectoral Scheme - Regular Plan - IDCW,Kotak Mahindra Mutual Fund,Equity,Sectoral,IT,High,5,28.22,33.89,33.95,0.62,64.36,13954.88,26.4,100,5000,Sankaran Naren,Value,0.5994575045207956,0.7481042654028436,0.7128831897415348,0.2175732217573222,0.8779661016949153,0.05580641459303455,85.42,15
Quant Discovery Mid Cap Scheme - Regular Plan - Growth,Quant Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,4,31.25,34.76,39.52,0.69,293.99,714.57,22.7,1000,5000,Harsha Upadhyaya,Passive,0.654249547920434,0.7687203791469193,0.8244840713283911,0.24686192468619245,0.752542372881356,0.002844439480819994,85.02,16
Edelweiss Micro Cap Small Cap Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Equity,Small Cap,Micro Cap,High,4,46.57,40.22,43.94,1.37,530.52,968.85,17.1,500,10000,Ashish Kela,Growth,0.9312839059674503,0.8981042654028435,0.9130434782608694,0.5313807531380753,0.5627118644067798,0.003861573598641549,84.68,17
Axis Discovery Small Cap Plan - Regular Plan - Growth,Axis Mutual Fund,Equity,Small Cap,Discovery,High,5,44.28,44.52,41.31,2.01,372.6,257.4,21.4,2000,10000,Ajay Tyagi,GARP,0.889873417721519,0.9999999999999999,0.8603486275295531,0.7991631799163179,0.7084745762711865,0.0010157340983892856,84.67,18
Mahindra Manulife IT Sectoral Fund - Direct Plan - IDCW,Mahindra Manulife Mutual Fund,Equity,Sectoral,IT,High,4,38.39,33.08,33.15,0.51,235.33,1460.67,19.1,2000,500,Kalpen Parekh,Growth,0.7833634719710669,0.7289099526066349,0.6968543378080544,0.17154811715481172,0.6305084745762712,0.00582888090486696,84.62,19
Bank of India Discovery Small Cap Scheme - Direct Plan - IDCW,Bank of India Mutual Fund,Equity,Small Cap,Discovery,Very High,5,44.13,38.88,37.71,1.5,578.89,410.69,29.2,1000,1000,Chandraprakash Padiyar,Index,0.8871609403254973,0.8663507109004739,0.7882187938288919,0.5857740585774058,0.9728813559322034,0.0016289026091682154,84.17,20
ICICI Prudential Opportunities Mid Cap Scheme - Regular Plan - Growth,ICICI Prudential Mutual Fund,Equity,Mid Cap,Opportunities,Moderately High,4,36.73,34.04,38.37,0.82,492.28,3352.66,20.5,2500,10000,Niket Shah,Active,0.7533453887884267,0.7516587677725117,0.8014425966740131,0.30125523012552297,0.6779661016949153,0.013396945949609782,84.12,21
Invesco Micro Cap Small Cap Fund - Regular Plan - IDCW,Invesco Mutual Fund,Equity,Small Cap,Micro Cap,Very High,5,38.3,42.29,44.63,0.98,259.69,1907.56,9.6,500,5000,Chandraprakash Padiyar,Growth,0.7817359855334538,0.9471563981042653,0.9268683630534962,0.36820083682008364,0.3084745762711864,0.007616465716544145,84.11,22
Nippon India Opportunities Mid Cap Scheme - Regular Plan - Growth,Nippon India Mutual Fund,Equity,Mid Cap,Opportunities,Moderately High,5,34.6,31.0,34.95,0.59,792.26,245.31,17.6,5000,5000,Nimesh Chandan,GARP,0.7148282097649187,0.6796208530805686,0.732919254658385,0.20502092050209203,0.5796610169491526,0.0009673734271431688,83.77,23
JM Financial Opportunities Mid Cap Fund - Regular Plan - Growth,JM Financial Mutual Fund,Equity,Mid Cap,Opportunities,Moderately High,5,25.71,33.41,32.79,0.43,391.01,366.18,15.3,2500,1000,Sankaran Naren,Index,0.5540687160940325,0.7367298578199051,0.6896413544379882,0.13807531380753138,0.5016949152542374,0.0014508601379387147,83.73,24
Canara Robeco Discovery Small Cap Scheme - Direct Plan - Growth,Canara Robeco Mutual Fund,Equity,Small Cap,Discovery,High,4,45.7,42.61,28.48,1.12,42.23,878.02,0.8,1000,5000,Sailesh Raj Bhan,Passive,0.9155515370705245,0.954739336492891,0.6032859146463634,0.42677824267782427,0.010169491525423732,0.003498248555689953,83.53,25
Sundaram Discovery Small Cap Scheme - Regular Plan - Growth,Sundaram Mutual Fund,Equity,Small Cap,Discovery,Very High,4,35.82,41.68,43.4,0.51,740.32,58.71,3.8,1000,1000,Shreyash Devalkar,Growth,0.7368896925858951,0.9327014218009477,0.9022240032057702,0.17154811715481172,0.11186440677966102,0.00022096306696736952,83.44,26
SBI Banking Sectoral Scheme - Regular Plan - Growth,SBI Mutual Fund,Equity,Sectoral,Banking,High,5,41.84,38.13,39.12,0.81,131.55,11717.27,1.1,500,1000,Amit Ganatra,Value,0.845750452079566,0.8485781990521327,0.8164696453616508,0.29707112970711297,0.02033898305084746,0.04685585035920299,83.43,27
Quantum Emerging Small Cap Fund - Regular Plan - IDCW,Quantum Mutual Fund,Equity,Small Cap,Emerging,High,4,40.48,36.68,40.7,0.9,369.39,543.55,15.9,2000,10000,Anish Tawakley,GARP,0.8211573236889692,0.814218009478673,0.8481266279302744,0.33472803347280333,0.5220338983050848,0.002160349985657801,83.41,28
Sundaram Micro Cap Small Cap Scheme - Regular Plan - Growth,Sundaram Mutual Fund,Equity,Small Cap,Micro Cap,Very High,4,38.24,44.02,42.43,1.04,67.15,3229.3,10.5,500,5000,Shreyash Devalkar,GARP,0.7806509945750453,0.9881516587677724,0.8827890202364254,0.3933054393305439,0.3389830508474576,0.012903499100567518,83.3,29
Bank of India Micro Cap Small Cap Plan - Regular Plan - IDCW,Bank of India Mutual Fund,Equity,Small Cap,Micro Cap,High,5,39.51,40.34,40.44,1.57,741.7,1066.29,20.8,500,5000,Manish Gunwani,GARP,0.8036166365280288,0.9009478672985782,0.8429172510518932,0.6150627615062761,0.688135593220339,0.0042513390085854395,83.15,30
Baroda BNP Paribas Emerging Small Cap Plan - Direct Plan - IDCW,Baroda BNP Paribas Mutual Fund,Equity,Small Cap,Emerging,High,4,50.02,44.04,28.48,1.5,679.06,659.2,2.7,1000,1000,Atul Kumar,Index,0.9936708860759494,0.9886255924170616,0.6032859146463634,0.5857740585774058,0.07457627118644068,0.002622956406634924,83.03,31
Kotak Mahindra Micro Cap Small Cap Fund - Direct Plan - IDCW,Kotak Mahindra Mutual Fund,Equity,Small Cap,Micro Cap,Very High,4,34.16,41.1,41.44,0.74,17.27,1686.96,13.0,2000,5000,Swarup Mohanty,Passive,0.7068716094032549,0.918957345971564,0.8629533159687436,0.26778242677824265,0.423728813559322,0.006734053468662145,82.95,32
Axis Discovery Small Cap Fund - Direct Plan - Growth,Axis Mutual Fund,Equity,Small Cap,Discovery,High,4,30.52,32.04,36.36,0.65,413.13,475.47,27.6,1000,10000,Chandraprakash Padiyar,Index,0.6410488245931284,0.7042654028436018,0.7611701061911439,0.2301255230125523,0.9186440677966102,0.0018880262058037368,81.71,33
Edelweiss Consumption Sectoral Fund - Regular Plan - Growth,Edelweiss Mutual Fund,Equity,Sectoral,Consumption,High,3,37.87,35.11,38.08,1.0,502.9,6754.17,27.2,2500,25000,Ajay Tyagi,Growth,0.7739602169981916,0.7770142180094786,0.7956321378481265,0.37656903765690375,0.9050847457627119,0.02700317480406628,81.59,34
PGIM India Emerging Small Cap Scheme - Direct Plan - Growth,PGIM India Mutual Fund,Equity,Small Cap,Emerging,Very High,4,43.37,41.89,40.69,1.35,487.22,419.19,15.4,1000,500,Sohini Andani,Growth,0.8734177215189873,0.9376777251184834,0.8479262672811058,0.5230125523012552,0.5050847457627119,0.0016629030810947657,81.14,35
SBI MNC Thematic Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Thematic,MNC,High,5,36.49,31.55,28.15,0.9,269.21,7074.42,22.6,5000,10000,R. Srinivasan,Active,0.749005424954792,0.6926540284360189,0.5966740132238028,0.33472803347280333,0.7491525423728814,0.028284192584593075,81.13,36
IDFC Discovery Mid Cap Fund - Regular Plan - IDCW,IDFC Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,5,25.97,31.75,28.02,0.68,768.53,924.73,20.9,1000,500,Rohit Singhania,Passive,0.5587703435804702,0.6973933649289099,0.5940693247846122,0.24267782426778245,0.6915254237288135,0.0036850911490651493,81.12,37
