Scheme Name,AMC Name,Fund Type,Category,Sub Category,Risk Level,Fund Rating,Return 1Y (%),Return 3Y (%),Return 5Y (%),Expense Ratio (%),NAV (₹),AUM (Cr),Fund Age (Years),Min SIP (₹),Min Lumpsum (₹),Fund Manager,Investment Strategy
SBI Banking Sectoral Scheme - Regular Plan - Growth,SBI Mutual Fund,Equity,Sectoral,Banking,High,5,41.84,38.13,39.12,0.81,131.55,11717.27,1.1,500,1000,Amit Ganatra,Value
Nippon India Nifty 50 Index Fund Fund - Regular Plan - IDCW,Nippon India Mutual Fund,Other,Index Fund,Nifty 50,Moderate,4,15.05,19.65,16.47,0.17,248.96,3467.37,16.0,2500,5000,Atul Kumar,Active
Quant ESG Thematic Fund - Direct Plan - IDCW,Quant Mutual Fund,Equity,Thematic,ESG,High,3,14.65,12.86,9.25,0.93,298.16,9882.03,6.4,1000,5000,Swarup Mohanty,Passive
Bank of India Ultra Short Liquid Fund - Regular Plan - IDCW,Bank of India Mutual Fund,Debt,Liquid,Ultra Short,Low,2,-1.89,5.37,6.45,0.17,59.52,781.59,28.5,100,10000,S. Nagnath,Active
HDFC Nifty 50 Index Fund Plan - Regular Plan - IDCW,HDFC Mutual Fund,Other,Index Fund,Nifty 50,Moderately High,5,16.19,,,0.37,356.6,1074.65,1.5,500,5000,Atul Kumar,Active
Franklin Templeton Senior Citizen Retirement Fund - Regular Plan - IDCW,Franklin Templeton Mutual Fund,Solution Oriented,Retirement,Senior Citizen,Moderately High,3,11.19,8.59,6.71,0.97,440.99,224.4,6.0,500,1000,Shreyash Devalkar,Income
Bandhan Domestic Fund of Funds Plan - Regular Plan - IDCW,Bandhan Mutual Fund,Other,Fund of Funds,Domestic,Moderate,3,23.21,16.18,20.13,1.02,738.12,921.98,12.0,1000,500,Dhaval Gada,Growth
Quantum Bluechip Large Cap Fund - Regular Plan - Growth,Quantum Mutual Fund,Equity,Large Cap,Bluechip,Moderate,5,22.28,24.57,22.38,1.11,119.61,698.09,24.2,2000,10000,Chirag Setalvad,GARP
Invesco Discovery Mid Cap Plan - Direct Plan - Growth,Invesco Mutual Fund,Equity,Mid Cap,Discovery,High,5,39.03,34.67,31.66,0.41,653.85,5148.7,23.3,5000,10000,Rohit Singhania,Active
ICICI Prudential Tax Advantage ELSS Scheme - Direct Plan - IDCW,ICICI Prudential Mutual Fund,Equity,ELSS,Tax Advantage,Moderately High,4,9.74,,,1.43,270.07,4433.39,2.4,500,1000,Jinesh Gopani,Active
L&T Dynamic Multi Cap Scheme - Regular Plan - IDCW,L&T Mutual Fund,Equity,Multi Cap,Dynamic,Moderately High,4,18.82,15.15,16.53,1.82,381.99,1886.45,22.9,2500,500,Pranav Gokhale,Value
IDFC Ultra Short Liquid Scheme - Direct Plan - IDCW,IDFC Mutual Fund,Debt,Liquid,Ultra Short,Low,4,5.98,6.08,,0.27,28.13,416.68,3.7,100,5000,Swarup Mohanty,Blend
Parag Parikh Contra Thematic Scheme - Regular Plan - IDCW,Parag Parikh Mutual Fund,Equity,Thematic,Contra,Moderately High,4,19.21,22.18,22.27,2.03,205.44,10065.22,7.2,1000,1000,Anish Tawakley,Growth
Quantum Bluechip Large Cap Fund - Regular Plan - Growth,Quantum Mutual Fund,Equity,Large Cap,Bluechip,Moderately High,3,8.38,13.8,18.1,1.51,509.66,504.01,26.2,500,500,Ajay Tyagi,Value
PGIM India Regular Savings Conservative Hybrid Fund - Direct Plan - IDCW,PGIM India Mutual Fund,Hybrid,Conservative Hybrid,Regular Savings,Low to Moderate,4,12.59,6.31,6.7,1.27,717.7,382.57,7.2,1000,25000,Niket Shah,Active
Edelweiss Dynamic Multi Cap Fund - Regular Plan - Growth,Edelweiss Mutual Fund,Equity,Multi Cap,Dynamic,Moderately High,3,31.77,26.0,21.07,1.22,338.59,670.82,7.1,2500,10000,Ajay Tyagi,Income
Motilal Oswal Tax Saver ELSS Plan - Direct Plan - Growth,Motilal Oswal Mutual Fund,Equity,ELSS,Tax Saver,Moderately High,3,,15.43,13.66,1.28,564.79,1613.77,28.9,500,500,Atul Kumar,Growth
Sundaram Discovery Small Cap Plan - Direct Plan - Growth,Sundaram Mutual Fund,Equity,Small Cap,Discovery,High,4,21.7,24.89,22.74,0.56,490.77,980.76,15.3,5000,10000,Shreyash Devalkar,GARP
IDFC Focused Large Cap Scheme - Direct Plan - Growth,IDFC Mutual Fund,Equity,Large Cap,Focused,Moderately High,5,20.1,13.57,10.97,0.52,395.65,6088.97,7.5,1500,10000,S. Nagnath,Growth
Mahindra Manulife Equity Arbitrage Arbitrage Plan - Direct Plan - IDCW,Mahindra Manulife Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,2,7.59,5.47,6.81,0.63,79.51,3387.68,25.1,500,5000,Manish Gunwani,Blend
Bank of India Diversified Multi Cap Fund - Direct Plan - Growth,Bank of India Mutual Fund,Equity,Multi Cap,Diversified,Moderately High,3,4.75,12.1,13.01,1.48,21.14,107.13,19.5,2500,1000,Harsha Upadhyaya,Growth
Sundaram Flexi Cap Multi Cap Plan - Regular Plan - IDCW,Sundaram Mutual Fund,Equity,Multi Cap,Flexi Cap,Moderately High,4,21.39,23.2,27.57,0.62,278.12,1215.42,3.8,100,1000,Shreyash Devalkar,Active
Kotak Mahindra Gift Children's Fund Scheme - Regular Plan - Growth,Kotak Mahindra Mutual Fund,Solution Oriented,Children's Fund,Gift,Moderately High,4,12.78,16.65,18.25,1.3,447.72,98.37,3.2,500,500,Anish Tawakley,Growth
HSBC Senior Citizen Retirement Fund - Direct Plan - Growth,HSBC Mutual Fund,Solution Oriented,Retirement,Senior Citizen,Moderate,3,17.13,15.0,13.39,0.78,582.96,1446.57,27.0,100,25000,Pranav Gokhale,Blend
Union Education Children's Fund Plan - Direct Plan - IDCW,Union Mutual Fund,Solution Oriented,Children's Fund,Education,Moderate,4,17.85,,,0.58,719.65,1702.08,0.6,5000,1000,Gopal Agrawal,Passive
Canara Robeco Opportunities Mid Cap Fund - Regular Plan - Growth,Canara Robeco Mutual Fund,Equity,Mid Cap,Opportunities,High,5,26.79,23.72,25.24,0.76,572.05,375.58,7.5,2000,5000,Kalpen Parekh,Value
Nippon India Focused Large Cap Plan - Regular Plan - Growth,Nippon India Mutual Fund,Equity,Large Cap,Focused,Moderately High,5,25.32,22.93,26.42,1.29,458.1,758.94,8.3,500,5000,Ankit Agarwal,Income
Bandhan Dynamic Multi Cap Scheme - Direct Plan - Growth,Bandhan Mutual Fund,Equity,Multi Cap,Dynamic,High,4,27.7,29.41,33.33,1.41,637.49,354.03,15.3,2500,500,Sailesh Raj Bhan,Index
Union Corporate Bond Medium Duration Fund - Regular Plan - IDCW,Union Mutual Fund,Debt,Medium Duration,Corporate Bond,Low to Moderate,3,2.09,6.97,9.19,0.5,27.26,220.01,28.2,1000,5000,Manish Gunwani,Passive
ICICI Prudential International Fund of Funds Scheme - Regular Plan - Growth,ICICI Prudential Mutual Fund,Other,Fund of Funds,International,Moderately High,4,16.47,18.55,13.7,1.41,347.12,2261.33,29.0,100,500,Chandraprakash Padiyar,Blend
Bandhan Domestic Fund of Funds Scheme - Direct Plan - IDCW,Bandhan Mutual Fund,Other,Fund of Funds,Domestic,High,3,14.21,17.5,16.35,1.32,259.0,1511.93,28.1,100,1000,Chandraprakash Padiyar,Blend
IDFC High Yield Credit Risk Plan - Direct Plan - Growth,IDFC Mutual Fund,Debt,Credit Risk,High Yield,Moderate,4,1.97,8.42,9.57,1.49,118.95,169.25,15.8,1000,5000,Kalpen Parekh,Growth
Quant Equity Savings Aggressive Hybrid Fund - Direct Plan - IDCW,Quant Mutual Fund,Hybrid,Aggressive Hybrid,Equity Savings,High,5,21.26,18.11,20.13,0.9,240.52,2374.53,26.1,5000,1000,Dhaval Gada,Income
Baroda BNP Paribas Pension Retirement Plan - Direct Plan - IDCW,Baroda BNP Paribas Mutual Fund,Solution Oriented,Retirement,Pension,Moderately High,2,11.13,11.11,14.09,1.11,563.96,2370.08,24.0,500,5000,Roshi Jain,Value
JM Financial Pension Retirement Plan - Regular Plan - IDCW,JM Financial Mutual Fund,Solution Oriented,Retirement,Pension,Moderately High,2,7.39,9.38,5.32,1.04,36.47,35312.34,9.0,1000,5000,Ashish Kela,Income
Franklin Templeton Ultra Short Liquid Plan - Direct Plan - IDCW,Franklin Templeton Mutual Fund,Debt,Liquid,Ultra Short,Low,3,,3.12,6.35,0.24,108.63,66.63,15.9,2500,5000,Ankit Agarwal,Value
Parag Parikh Balanced Advantage Aggressive Hybrid Plan - Direct Plan - IDCW,Parag Parikh Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,High,3,12.21,10.24,6.09,0.47,428.83,27334.81,21.9,1000,10000,Chandraprakash Padiyar,Value
SBI Nifty 100 Index Fund Scheme - Regular Plan - Growth,SBI Mutual Fund,Other,Index Fund,Nifty 100,Moderate,3,12.4,15.23,18.18,0.21,355.67,2838.07,2.8,1000,10000,Pranav Gokhale,Passive
HSBC Pharma Sectoral Fund - Regular Plan - IDCW,HSBC Mutual Fund,Equity,Sectoral,Pharma,Very High,4,43.96,38.58,40.54,1.32,145.25,537.85,16.7,1000,10000,Sailesh Raj Bhan,Blend
Canara Robeco Income Conservative Hybrid Plan - Regular Plan - IDCW,Canara Robeco Mutual Fund,Hybrid,Conservative Hybrid,Income,Low to Moderate,2,6.1,9.62,14.17,1.19,447.05,411.58,18.5,1000,5000,Dhaval Gada,Passive
HSBC IT Sectoral Fund - Direct Plan - IDCW,HSBC Mutual Fund,Equity,Sectoral,IT,High,3,9.11,11.41,13.99,0.53,99.93,2133.95,14.5,500,5000,Niket Shah,Passive
Kotak Mahindra Growth Mid Cap Plan - Regular Plan - Growth,Kotak Mahindra Mutual Fund,Equity,Mid Cap,Growth,Moderately High,4,21.87,22.29,19.02,1.09,323.62,3505.02,18.7,500,10000,Prashant Jain,Value
Canara Robeco Dynamic Bond Long Duration Fund - Regular Plan - Growth,Canara Robeco Mutual Fund,Debt,Long Duration,Dynamic Bond,Moderate,2,2.26,4.27,5.53,0.75,686.34,251.57,2.6,100,1000,Gopal Agrawal,Income
Quantum High Yield Credit Risk Plan - Regular Plan - IDCW,Quantum Mutual Fund,Debt,Credit Risk,High Yield,Moderately High,2,6.53,5.16,9.56,1.08,315.43,2193.28,19.5,500,10000,Vetri Subramaniam,Passive
L&T Money Market Short Duration Plan - Regular Plan - Growth,L&T Mutual Fund,Debt,Short Duration,Money Market,Low,3,13.24,6.18,,0.78,725.04,1671.52,2.6,1000,25000,Vinay Sharma,Income
UTI Pharma Sectoral Fund - Regular Plan - Growth,UTI Mutual Fund,Equity,Sectoral,Pharma,Very High,3,26.48,34.11,37.25,1.06,101.59,430.93,21.1,1000,25000,Amit Ganatra,Blend
IDFC Low Duration Short Duration Plan - Regular Plan - Growth,IDFC Mutual Fund,Debt,Short Duration,Low Duration,Low to Moderate,3,11.27,7.51,10.54,0.37,148.53,3364.18,29.7,2500,10000,Sohini Andani,Income
Canara Robeco Contra Thematic Scheme - Direct Plan - IDCW,Canara Robeco Mutual Fund,Equity,Thematic,Contra,Moderately High,4,19.46,15.04,13.45,2.08,687.86,2739.57,13.2,1000,5000,Niket Shah,Active
IDFC Income Conservative Hybrid Scheme - Direct Plan - IDCW,IDFC Mutual Fund,Hybrid,Conservative Hybrid,Income,Low to Moderate,3,3.93,10.28,14.31,0.91,662.55,3050.1,12.0,1500,5000,Varun Goel,Active
Invesco Discovery Mid Cap Fund - Regular Plan - Growth,Invesco Mutual Fund,Equity,Mid Cap,Discovery,High,3,26.09,32.63,30.82,1.92,760.88,688.56,17.4,5000,500,Prashant Jain,Active
Canara Robeco Ultra Short Liquid Plan - Regular Plan - IDCW,Canara Robeco Mutual Fund,Debt,Liquid,Ultra Short,Low,1,1.48,4.79,3.08,0.37,603.88,2796.66,3.2,2000,5000,Chirag Setalvad,Active
SBI Ultra Short Liquid Fund - Direct Plan - Growth,SBI Mutual Fund,Debt,Liquid,Ultra Short,Low,2,4.02,3.23,2.65,0.46,285.92,2814.44,4.0,1000,5000,Rohit Singhania,Growth
Parag Parikh ESG Thematic Plan - Regular Plan - IDCW,Parag Parikh Mutual Fund,Equity,Thematic,ESG,Moderately High,5,27.45,25.56,21.57,0.55,563.17,541.01,3.0,500,10000,Rahul Baijal,Income
Quant Nifty 50 Index Fund Plan - Direct Plan - Growth,Quant Mutual Fund,Other,Index Fund,Nifty 50,Moderately High,5,11.17,13.24,16.37,0.48,788.91,1553.2,22.7,500,500,Swarup Mohanty,Active
